科號,課程中文名稱,課程英文名稱,學分數,人限,新生保留人數,通識對象,通識類別,授課語言,備註,停開註記,教室與上課時間,授課教師,擋修說明,課程限制說明,第一二專長對應,學分學程對應,不可加簽說明,必選修說明
11110COM 525200,金融科技,Financial Technology,3,130,0, ,,中, ,,"DELTA台達217	T7T8T9
","翁詠祿	UENG, YEONG-LUH
",,,電機工程(第一專長),(跨領域)金融科技與區塊鏈學分學程/(跨領域)人工智慧與應用進階學分學程/(跨領域)人工智慧與應用基礎學分學程,,通訊所111D  選修	通訊所111M  選修	電機系111D  選修	電機系111M  選修	
11110COM 526000,深度學習,Deep Learning,3,80,0, ,,中, ,,"DELTA台達217	M5M6R7
","林嘉文	LIN, CHIA-WEN
",,,電機工程(第一專長),(跨領域)金融科技與區塊鏈學分學程/(跨領域)人工智慧與應用進階學分學程/(跨領域)人工智慧與應用基礎學分學程,,通訊所111D  選修	通訊所111M  選修	電機系111D  選修	電機系111M  選修	
11110COM 530500,網路科學,Network Science,3,50,0, ,,中, ,,"DELTA台達211	M5M6W5
","張正尚	CHANG, CHENG-SHANG
",,,電機工程(第一專長),,,通訊所111D  選修	通訊所111M  選修	
11110COM 530600,社群網路,Social Networks,3,100,0, ,,中, ,,"DELTA台達103	W7W8F5
","李端興	LEE, DUAN-SHIN
",,,電機工程(第一專長),(跨領域)人工智慧與應用進階學分學程/(跨領域)人工智慧與應用基礎學分學程,,通訊所111D  選修	通訊所111M  選修	
11110COM 534200,行動電信網路,Mobile Telecommunications Networks,3,100,0, ,,中, ,,"DELTA台達104	T5T6R8
","楊舜仁	YANG, SHUN-REN
",,,電機工程(第一專長),,,通訊所111D  選修	通訊所111M  選修	
11110COM 541000,光纖通訊系統,Optical Fiber Communication Systems,3,53,0, ,,中, ,,"DELTA台達209	T2R3R4
","馮開明	FENG, KAI-MING
",,,電機工程(第一專長),,,通訊所111D  選修	通訊所111M  選修	
11110COM 601000,論文研究,Thesis,0,,0, ,,中,限通訊所碩二以上同學，Selectable after successfully completing first year's coursework,,,"指導教授	
",,排除碩士班1年級,,,,通訊所111M  必修	
11110COM 701000,論文研究,Thesis,0,,0, ,,中,限通訊所博二以上同學，Selectable after successfully completing first year's coursework,,,"指導教授	
",,排除博士班1年級,,,,通訊所111D  必修	
11110CS  135501,計算機程式設計一,Introduction to Programming (I),3,75,75, ,,英,"非資工本系生請修習111下特別為資工輔系、雙主修、專長同學開設之同名課程。MaMb上機教室：資電326,328,323",,"DELTA台達105	M7M8R6
EECS資電 132	MaMb
","胡敏君	MIN-CHUN HU
",,"資工系大學部1年級,電資院學士班大學部1年級優先，第3次選課起開放全校修習",資訊工程(第二專長)	資訊工程(第一專長)	數據科學(第二專長)	電機資訊(第一專長),(跨領域)積體電路設計學分學程/(跨領域)數據科學學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)音樂科技與健康學分學程/(跨領域)神經科學學分學程,,資工系111BA 必修	資工系111BB 必修	資工系111BC 必修	電資院學士班111B  必修	
11110CS  135502,計算機程式設計一,Introduction to Programming (I),3,75,75, ,,中,"非資工本系生請修習111下特別為資工輔系、雙主修、專長同學開設之同名課程。TaTb上機教室：資電326,328,323",,"DELTA台達107	M7M8R6
EECS資電 132	TaTb
","楊舜仁	YANG, SHUN-REN
",,"資工系大學部1年級,電資院學士班大學部1年級優先，第3次選課起開放全校修習",資訊工程(第一專長)	數據科學(第二專長)	電機資訊(第一專長),(跨領域)積體電路設計學分學程/(跨領域)數據科學學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)音樂科技與健康學分學程/(跨領域)神經科學學分學程,,資工系111BA 必修	資工系111BB 必修	資工系111BC 必修	電資院學士班111B  必修	
11110CS  135600,計算機程式設計二,Introduction to Programming (II),3,0,0, ,,中,"限曾修通過CS1355計算機程式設計一或通過第一堂課測驗者,加簽選課.RaRbRc上機:資電館電腦教室.面授+同步",,"DELTA台達109	TaTbTc
","陳煥宗	CHEN, HWANN-TZONG
",,,資訊工程(第一專長)	電機資訊(第一專長),(跨領域)積體電路設計學分學程/(跨領域)神經科學學分學程,,資工系111BA 必修	資工系111BB 必修	資工系111BC 必修	電資院學士班110B  選修	電資院學士班110BA 選修	電資院學士班111B  選修	
11110CS  135700,資訊系統及應用導論,Intro. to Computer Systems & Applications,2,120,120, ,,中, ,,"DELTA台達107	W7W8W9
","潘則佑	PAN, TSE-YU
",,限資工系,,,,資工系111BA 選修	資工系111BB 選修	資工系111BC 選修	電資院學士班111B  選修	
11110CS  135800,Python語言程式入門,Introduction to Programming in Python,3,150,45, ,,中,"面授+同步+非同步.院學士班無法選課洽課務組,加簽限開學第1堂課W34上機教室資電132,323,326,328.",,"DELTA台達108	M2W3W4
","周百祥	CHOU, PAI-HSIANG
",,"排除電資院,大學部3年級4年級",,(跨領域)人工智慧與應用基礎學分學程/(跨領域)音樂科技與健康學分學程/(跨領域)神經科學學分學程,,資工系110BA 選修	資工系110BB 選修	資工系110BC 選修	資工系111BA 選修	資工系111BB 選修	資工系111BC 選修	電資院學士班110B  選修	電資院學士班110BA 選修	電資院學士班111B  選修	
11110CS  233401,線性代數,Linear Algebra,3,75,0, ,,中,本課程上150分鐘，其餘時間由教授視情況彈性運用。,,"DELTA台達109	M3M4W1W2
","聘任中	
",,"資工系大學部2年級,電資院學士班大學部2年級優先，第3次選課起開放全校修習",資訊工程(第二專長)	資訊工程(第一專長)	電機資訊(第一專長)	工業工程與工程管理(第二專長),(跨領域)音樂科技與健康學分學程,,資工系110BA 必修	資工系110BB 必修	資工系110BC 必修	電資院學士班110B  必修	電資院學士班110BA 必修	
11110CS  233402,線性代數,Linear Algebra,3,75,0, ,,英, ,,"DELTA台達103	M3M4W2
","李哲榮	LEE, CHE-RUNG
",,"資工系大學部2年級,電資院學士班大學部2年級優先，第3次選課起開放全校修習",資訊工程(第二專長)	資訊工程(第一專長)	電機資訊(第一專長)	工業工程與工程管理(第二專長),(跨領域)音樂科技與健康學分學程,,資工系110BA 必修	資工系110BB 必修	資工系110BC 必修	電資院學士班110B  必修	電資院學士班110BA 必修	
11110CS  233601,離散數學,Discrete Mathematics,3,150,120, ,,英,不可加簽。,,"DELTA台達107	M3M4W2
","韓永楷	HON WING KAI
",,"資工系大學部1年級,電資院學士班大學部1年級優先，第3次選課起開放全校修習",資訊工程(第二專長)	資訊工程(第一專長)	電機工程(第一專長)	電機資訊(第一專長)	工業工程與工程管理(第二專長),,《不接受加簽 No extra selection》,資工系111BA 必修	資工系111BB 必修	資工系111BC 必修	電資院學士班111B  必修	
11110CS  233602,離散數學,Discrete Mathematics,3,75,75, ,,中, ,,"DELTA台達108	M3M4W2
","蔡明哲	TSAI, MING-JER
",,"資工系大學部1年級,電資院學士班大學部1年級優先，第3次選課起開放全校修習",資訊工程(第二專長)	資訊工程(第一專長)	電機工程(第一專長)	電機資訊(第一專長)	工業工程與工程管理(第二專長),,,資工系111BA 必修	資工系111BB 必修	資工系111BC 必修	電資院學士班111B  必修	
11110CS  235101,資料結構,Data Structures,3,75,0, ,,中,非資工本系生請修習111下特別為資工輔系、雙主修、專長同學開設之同名課程。,,"DELTA台達105	T3T4R3
EECS資電 326	WaWb
","沈之涯	SHEN, CHIH-YA
",,"資工系大學部2年級,電資院學士班大學部2年級優先，第3次選課起開放全校修習",資訊工程(第二專長)	資訊工程(第一專長)	數據科學(第二專長)	電機工程(第一專長)	電機資訊(第一專長),(跨領域)生物資訊學分學程/(跨領域)積體電路設計學分學程/(跨領域)數據科學學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)音樂科技與健康學分學程,,資工系110BA 必修	資工系110BB 必修	資工系110BC 必修	電資院學士班110B  必修	電資院學士班110BA 必修	
11110CS  235102,資料結構,Data Structures,3,75,0, ,,英,"非資工本系生請修習111下特別為資工輔系.雙主修.專長同學開設之同名課程,R34為上機時間(資電326)",,"DELTA台達104	T3T4R3
","蔡仁松	TSAY, REN-SONG
",,"資工系大學部2年級,電資院學士班大學部2年級優先，第3次選課起開放全校修習",資訊工程(第二專長)	資訊工程(第一專長)	數據科學(第二專長)	電機工程(第一專長)	電機資訊(第一專長),(跨領域)生物資訊學分學程/(跨領域)積體電路設計學分學程/(跨領域)數據科學學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)音樂科技與健康學分學程,,資工系110BA 必修	資工系110BB 必修	資工系110BC 必修	電資院學士班110B  必修	電資院學士班110BA 必修	
11110CS  312000,積體電路設計概論,Introduction of Integrated Circuit Design,3,90,0, ,,中,同步遠距。,,"VC虛擬教室	T2T3T4
","何宗易	HO,TSUNG-YI
",,資工系大學部優先，第3次選課起開放全校修習,資訊工程(第二專長)	資訊工程(第一專長),(跨領域)積體電路設計學分學程,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系109BA 選修	資工系109BB 選修	資工系109BC 選修	電資院學士班108B  選修	電資院學士班108BA 選修	電資院學士班109B  選修	電資院學士班109BA 選修	
11110CS  330500,密碼與網路安全概論,Cryptography and Network Security,3,90,0, ,,中, ,,"DELTA台達108	M7M8R6
","孫宏民	SUN, HUNG-MIN
",,資工系大學部優先，第3次選課起開放全校修習,資訊工程(第一專長),(跨領域)金融科技與區塊鏈學分學程,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系109BA 選修	資工系109BB 選修	資工系109BC 選修	電資院學士班108B  選修	電資院學士班108BA 選修	電資院學士班109B  選修	電資院學士班109BA 選修	
11110CS  342301,作業系統,Operating Systems,3,75,0, ,,中,非資工本系生請修習111下特別為資工輔系、雙主修、專長同學開設之同名課程。,,"DELTA台達105	M3M4W2
","周志遠	CHOU, JERRY
",,"資工系大學部3年級,電資院學士班大學部3年級優先，第3次選課起開放全校修習",資訊工程(第二專長)	資訊工程(第一專長)	電機工程(第一專長)	電機資訊(第一專長),(跨領域)積體電路設計學分學程,,資工系109BA 必修	資工系109BB 必修	資工系109BC 必修	電資院學士班109B  必修	電資院學士班109BA 必修	
11110CS  342302,作業系統,Operating Systems,3,75,0, ,,英,非資工本系生請修習111下特別為資工輔系、雙主修、專長同學開設之同名課程。,,"DELTA台達104	M3M4W2
","周百祥	CHOU, PAI-HSIANG
",,"資工系大學部3年級,電資院學士班大學部3年級優先，第3次選課起開放全校修習",資訊工程(第二專長)	資訊工程(第一專長)	電機工程(第一專長)	電機資訊(第一專長),(跨領域)積體電路設計學分學程,,資工系109BA 必修	資工系109BB 必修	資工系109BC 必修	電資院學士班109B  必修	電資院學士班109BA 必修	
11110CS  342700,計算機系統管理,Computer System Administration,3,40,0, ,,中, ,,"EECS資電 132	M5M6M7
","張君天	CHANG, CHUN-TIEN
",,資工系大學部優先，第3次選課起開放全校修習,電機工程(第一專長),,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系109BA 選修	資工系109BB 選修	資工系109BC 選修	電資院學士班108B  選修	電資院學士班108BA 選修	電資院學士班109B  選修	電資院學士班109BA 選修	
11110CS  343300,競技程式設計一,Competitive Programming Training (I),3,50,0, ,,中, ,,"DELTA台達102	MaMbMc
EECS資電 132	WaWbWc
","聘任中	
",,資工系大學部優先，第3次選課起開放全校修習,電機工程(第一專長),,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系109BA 選修	資工系109BB 選修	資工系109BC 選修	資工系110BA 選修	資工系110BB 選修	資工系110BC 選修	電資院學士班108B  選修	電資院學士班108BA 選修	電資院學士班109B  選修	電資院學士班109BA 選修	電資院學士班110B  選修	電資院學士班110BA 選修	
11110CS  390100,系統整合實作一,System Integration Implementation  I,2,0,0, ,,中,"限109學年度入學之資工系於大四期間確定出國交換之學生,請以加簽方式選課。",,,"指導教授	
",,"限資工系大學部3年級4年級,電資院學士班大學部3年級4年級",資訊工程(第一專長)	電機資訊(第一專長),(跨領域)資訊傳媒學分學程,,資工系109BA 必修	資工系109BB 必修	資工系109BC 必修	電資院學士班109B  必修	電資院學士班109BA 必修	
11110CS  390200,系統整合實作二,System Integration Implementation  II,2,,0, ,,中,擋修：CS3901系統整合實作一。限資工、電資班大四，非資工系欲選課者，請以加簽方式辦理。,,,"指導教授	
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>系統整合實作一-成績需C-以上<BR><br>上述條件一定要有，則不擋修。</div>","限資工系大學部4年級,電資院學士班大學部4年級",資訊工程(第一專長)	電機資訊(第一專長),(跨領域)資訊傳媒學分學程,,資工系108BA 必修	資工系108BB 必修	資工系108BC 必修	電資院學士班108B  必修	電資院學士班108BA 必修	
11110CS  410000,計算機結構,Computer Architecture,3,75,0, ,,中, ,,"DELTA台達109	M5M6M7
","黃婷婷	HWANG, TING-TING
",,"限資工系大學部3年級4年級,電資院學士班大學部3年級4年級",資訊工程(第二專長)	資訊工程(第一專長)	電機工程(第一專長)	電機資訊(第一專長),(跨領域)積體電路設計學分學程,,資工系108BA 必修	資工系108BB 必修	資工系108BC 必修	資工系109BA 必修	資工系109BB 必修	資工系109BC 必修	電資院學士班108B  必修	電資院學士班108BA 必修	電資院學士班109B  必修	電資院學士班109BA 必修	
11110CS  431101,計算方法設計,Design and Analysis of Algorithms,3,100,0, ,,中,非資工本系生請修習111下特別為資工輔系、雙主修、專長同學開設之同名課程。,,"EECS資電 131	W3W4F3
","王炳豐	WANG, BIING-FENG
",,"資工系大學部3年級,電資院學士班大學部3年級優先，第3次選課起開放全校修習",資訊工程(第二專長)	資訊工程(第一專長)	電機工程(第一專長)	電機資訊(第一專長),(跨領域)生物資訊學分學程/(跨領域)積體電路設計學分學程/(跨領域)音樂科技與健康學分學程,,資工系109BA 必修	資工系109BB 必修	資工系109BC 必修	電資院學士班109B  必修	電資院學士班109BA 必修	
11110CS  431102,計算方法設計,Design and Analysis of Algorithms,3,100,0, ,,中,非資工本系生請修習111下特別為資工輔系、雙主修、專長同學開設之同名課程。,,"DELTA台達107	W3W4F3
","許健平	SHEU, JANG-PING
",,"資工系大學部3年級,電資院學士班大學部3年級優先，第3次選課起開放全校修習",資訊工程(第二專長)	資訊工程(第一專長)	電機工程(第一專長)	電機資訊(第一專長),(跨領域)生物資訊學分學程/(跨領域)積體電路設計學分學程/(跨領域)音樂科技與健康學分學程,,資工系109BA 必修	資工系109BB 必修	資工系109BC 必修	電資院學士班109B  必修	電資院學士班109BA 必修	
11110CS  452000,影像處理簡介,Introduction to Image Processing,3,40,0, ,,中, ,,"DELTA台達104	M5M6R4
","許秋婷	HSU, CHIU-TING
",,資工系大學部優先，第3次選課起開放全校修習,電機工程(第一專長),(跨領域)生物資訊學分學程/(跨領域)人工智慧與應用進階學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)神經科學學分學程,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系109BA 選修	資工系109BB 選修	資工系109BC 選修	電資院學士班108B  選修	電資院學士班108BA 選修	電資院學士班109B  選修	電資院學士班109BA 選修	
11110CS  460100,人工智慧概論,Introduction to Intelligent Computing,3,90,0, ,,英, ,,"DELTA台達104	W3W4F3
","蘇豐文	SOO, VON-WUN
",,資工系大學部優先，第3次選課起開放全校修習,資訊工程(第一專長)	數據科學(第二專長)	電機工程(第一專長),(跨領域)生物資訊學分學程/(跨領域)數據科學學分學程/(跨領域)金融科技與區塊鏈學分學程/(跨領域)人工智慧與應用進階學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)神經科學學分學程,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系109BA 選修	資工系109BB 選修	資工系109BC 選修	電資院學士班108B  選修	電資院學士班108BA 選修	電資院學士班109B  選修	電資院學士班109BA 選修	
11110CS  460200,機器學習概論,Introduction to Machine Learning,3,100,0, ,,英, ,,"DELTA台達103	T3T4R3
","郭柏志	KUO, PO-CHIH
",,資工系大學部優先，第3次選課起開放全校修習,資訊工程(第一專長)	數據科學(第二專長)	電機工程(第一專長),(跨領域)數據科學學分學程/(跨領域)金融科技與區塊鏈學分學程/(跨領域)人工智慧與應用進階學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)神經科學學分學程,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系109BA 選修	資工系109BB 選修	資工系109BC 選修	電資院學士班108B  選修	電資院學士班108BA 選修	電資院學士班109B  選修	電資院學士班109BA 選修	
11110CS  516000,FPGA結構及設計自動化,FPGA Architecture & CAD,3,,0, ,,英, ,,"DELTA台達102	M5M6R5
","麥偉基	MAK WAI KEI
",,,電機工程(第一專長),,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系111D  選修	資工系111M  選修	半導體學院111D  選修	半導體學院111M  選修	電資院學士班108B  選修	電資院學士班108BA 選修	
11110CS  517000,數位電視系統,Digital Television,3,70,0, ,,中, ,,"EECS資電 128	M6M7M8
","胡龍融	HU, LON-RONG
",,,電機工程(第一專長),,,資工系111D  選修	資工系111M  選修	
11110CS  522100,計算機網路,Computer Networks,3,50,0, ,,中,先修科目EECS3020計算機網路概論。,,"DELTA台達102	M7M8R6
","邱德泉	CHIU, TE-CHUAN
",,資工系優先，第3次選課起開放全校修習,電機工程(第一專長),,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系109BA 選修	資工系109BB 選修	資工系109BC 選修	資工系111D  選修	資工系111M  選修	電資院學士班108B  選修	電資院學士班108BA 選修	電資院學士班109B  選修	電資院學士班109BA 選修	
11110CS  529100,網路之隨機程序,Stochastic Processes for Networking,3,80,0, ,,中, ,,"DELTA台達108	T6T7F6
","李端興	LEE, DUAN-SHIN
",,,電機工程(第一專長),,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系111D  選修	資工系111M  選修	
11110CS  531300,計算生物學,Computing Biology,3,30,0, ,,中, ,,"DELTA台達106	W3W4F3
","盧錦隆	LU, CHIN LUNG
",,,電機工程(第一專長),(跨領域)生物資訊學分學程/(跨領域)神經科學學分學程,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系111D  選修	資工系111M  選修	電資院學士班108B  選修	電資院學士班108BA 選修	
11110CS  531900,高等離散結構,Advanced Discrete Structure,3,140,0, ,,英, ,,"DELTA台達105	T5T6R4
","韓永楷	HON WING KAI
",,,電機工程(第一專長),,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系109BA 選修	資工系109BB 選修	資工系109BC 選修	資工系110BA 選修	資工系110BB 選修	資工系110BC 選修	資工系111D  選修	資工系111M  選修	電資院學士班108B  選修	電資院學士班108BA 選修	電資院學士班109B  選修	電資院學士班109BA 選修	電資院學士班110B  選修	電資院學士班110BA 選修	
11110CS  532100,數值最佳化,Numerical Optimization,3,100,0, ,,英,本課程上150分鐘，其餘時間由教授視情況彈性運用。,,"DELTA台達109	W3W4F3F4
","李哲榮	LEE, CHE-RUNG
",,,電機工程(第一專長),,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系109BA 選修	資工系109BB 選修	資工系109BC 選修	資工系111D  選修	資工系111M  選修	電資院學士班108B  選修	電資院學士班108BA 選修	電資院學士班109B  選修	電資院學士班109BA 選修	
11110CS  539100,量子計算概論,Introduction to quantum computing,3,40,0, ,,英, ,,"DELTA台達103	M6R7R8
","林瀚仚	LIN, HAN-HSUAN
",,,電機工程(第一專長),,,資工系111D  選修	資工系111M  選修	半導體學院111D  選修	半導體學院111M  選修	
11110CS  540400,高等編譯器,Advanced Compiler,3,,0, ,,中, ,,"EECS資電 127	T7T8R7
","李政崑	LEE, JENQ-KUEN
",,,電機工程(第一專長),,,資工系111D  選修	資工系111M  選修	
11110CS  542200,平行程式,Parallel Programming,3,30,0, ,,中,同步遠距。,,"DELTA台達106	M7M8R6
","周志遠	CHOU, JERRY
",,,電機工程(第一專長),(跨領域)人工智慧與應用進階學分學程/(跨領域)人工智慧與應用基礎學分學程,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系111D  選修	資工系111M  選修	電資院學士班108B  選修	電資院學士班108BA 選修	
11110CS  542300,高等作業系統,Advanced  Operating Systems,3,0,0, ,,中,以加簽方式選課。,,"EECS資電 125	W7W8F7F8
","石維寬	SHIH, WEI-KUAN
",,,電機工程(第一專長),,,資工系111D  選修	資工系111M  選修	
11110CS  546000,軟體專案管理,Software Project Management,3,0,0, ,,中,以加簽方式選課。,,"DELTA台達108	M5M6R5
","黃慶育	HUANG, CHING-YU
",,,電機工程(第一專長),,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系109BA 選修	資工系109BB 選修	資工系109BC 選修	資工系111D  選修	資工系111M  選修	電資院學士班108B  選修	電資院學士班108BA 選修	電資院學士班109B  選修	電資院學士班109BA 選修	資安所111M  選修	
11110CS  546400,高科技創業與營運,High-Tech Entrepreneurship,3,,0, ,,中, ,,"DELTA台達109	R7R8R9
","蔡仁松	TSAY, REN-SONG
",,,電機工程(第一專長),(跨領域)創新創業學分學程/(跨領域)創新設計學分學程,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系111D  選修	資工系111M  選修	電資院學士班108B  選修	電資院學士班108BA 選修	
11110CS  550300,遊戲程式設計,Introduction to Game Programming,3,50,0, ,,中,W7W8W9上機教室：資電326、328。,,"EECS資電 127	W7W8W9
","朱宏國	CHU, HUNG-KUO
",,資工系優先，第3次選課起開放全校修習,電機工程(第一專長),(跨領域)資訊傳媒學分學程/(跨領域)創新創業學分學程/(跨領域)創新設計學分學程,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系109BA 選修	資工系109BB 選修	資工系109BC 選修	資工系111D  選修	資工系111M  選修	電資院學士班108B  選修	電資院學士班108BA 選修	電資院學士班109B  選修	電資院學士班109BA 選修	藝術學院學士班108B  選修	藝術學院學士班109B  選修	
11110CS  550700,繪圖程式設計與應用,Introduction to Graphics Programming and Applications,3,50,0, ,,中,M9上機教室：資電326、328。,,"EECS資電 131	M7M8M9
","朱宏國	CHU, HUNG-KUO
",,資工系優先，第3次選課起開放全校修習,電機工程(第一專長),,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系109BA 選修	資工系109BB 選修	資工系109BC 選修	資工系111D  選修	資工系111M  選修	電資院學士班108B  選修	電資院學士班108BA 選修	電資院學士班109B  選修	電資院學士班109BA 選修	藝術學院學士班108B  選修	藝術學院學士班109B  選修	
11110CS  551200,多媒體技術於運動科學之應用,Multimedia Technology for Sports,3,0,0, ,,中,以加簽方式選課，第一堂課根據學生自我介紹，挑選40人。,,"DELTA台達106	R7R8R9
","朱宏國	CHU, HUNG-KUO
潘則佑	PAN, TSE-YU
胡敏君	MIN-CHUN HU
詹詩涵	CHAN.SHIH-HAN
",,,電機工程(第一專長),,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系109BA 選修	資工系109BB 選修	資工系109BC 選修	資工系111D  選修	資工系111M  選修	電資院學士班108B  選修	電資院學士班108BA 選修	電資院學士班109B  選修	電資院學士班109BA 選修	
11110CS  555100,醫學資訊簡介,Introduction to Healthcare Informatics,2,20,0, ,,中, ,,"DELTA台達106	F5F6
","唐傳義	TANG, CHUAN-YI
",,排除醫學系,電機工程(第一專長),,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系109BA 選修	資工系109BB 選修	資工系109BC 選修	資工系111D  選修	資工系111M  選修	電資院學士班108B  選修	電資院學士班108BA 選修	電資院學士班109B  選修	電資院學士班109BA 選修	
11110CS  560500,人工智慧倫理、法律與社會,"AI Ethics, Law and Society",2,60,0, ,,中, ,,"DELTA台達108	F3F4
","李怡俐	LEE, YI-LI
郭昱廷	YU-TING KUO
賴尚宏	LAI, SHANG-HONG
林勤富	LIN, CHING-FU
",,,電機工程(第一專長),,,資工系111D  選修	資工系111M  選修	
11110CS  565600,深度學習,Deep Learning,3,75,0, ,,中,上課方式：課堂教學+遠距輔助教學。,,"DELTA台達107	T7T8R7
","吳尚鴻	WU, SHAN-HUNG
",,,電機工程(第一專長),(跨領域)金融科技與區塊鏈學分學程/(跨領域)人工智慧與應用進階學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)神經科學學分學程,,資工系108BA 選修	資工系108BB 選修	資工系108BC 選修	資工系109BA 選修	資工系109BB 選修	資工系109BC 選修	資工系111D  選修	資工系111M  選修	半導體學院111D  選修	半導體學院111M  選修	電資院學士班108B  選修	電資院學士班108BA 選修	電資院學士班109B  選修	電資院學士班109BA 選修	
11110CS  573400,圖探勘,Graph Mining,3,20,0, ,,中,上課方式：課堂教學+遠距輔助教學。,,"DELTA台達109	T5T6T7
","沈之涯	SHEN, CHIH-YA
",,,電機工程(第一專長),,,資工系111D  選修	資工系111M  選修	
11110CS  580100,研究方法一,Research Methodology I,2,,0, ,,中,未找到指導教授者，請勿選課。,,,,,限資工系,,,,資工系111M  選修	
11110CS  591000,書報討論,Seminar,1,175,0, ,,中,同步轉播教室：台達106。,,"DELTA台達107	W5W6
","林瀚仚	LIN, HAN-HSUAN
胡敏君	MIN-CHUN HU
",,限資工系碩士班1年級,,,,資工系111M  必修	
11110CS  613500,VLSI實體設計自動化,VLSI Physical Design Automation,3,,0, ,,英, ,,"EECS資電 129	T3T4R3
","王廷基	WANG, TING-CHI
",,,電機工程(第一專長),,,資工系111D  選修	資工系111M  選修	半導體學院111D  選修	半導體學院111M  選修	
11110CS  655000,計算機視覺理論,Computer Vision,3,50,0, ,,中, ,,"DELTA台達102	T7T8R7
","賴尚宏	LAI, SHANG-HONG
",,,電機工程(第一專長),(跨領域)人工智慧與應用進階學分學程/(跨領域)人工智慧與應用基礎學分學程,,資工系111D  選修	資工系111M  選修	
11110CS  690000,論文研究,Thesis,0,,0, ,,中,限資工系碩二以上同學，Selectable after successfully completing first year's coursework,,,"指導教授	
",,排除碩士班1年級,,,,資工系111M  必修	
11110CS  724600,行動計算專題,Special Topics in Mobile Computing,2,0,0, ,,中,以加簽方式選課。,,"DELTA台達615	RaRb
","高榮駿	KAO, JUNG-CHUN
",,,,,,資工系111D  選修	資工系111M  選修	
11110CS  742900,嵌入式系統設計專題,Special Topic on Embedded System Design,2,0,0, ,,中,以加簽方式選課。,,"EECS資電 125	M1M2
","石維寬	SHIH, WEI-KUAN
",,,,,,資工系111D  選修	資工系111M  選修	
11110CS  761000,深度增強式學習專題,Special Topics on Deep Reinforcement Learning,2,0,0, ,,中,以加簽方式選課。,,"EECS資電 125	RaRb
","李濬屹	LEE, CHUN-YI
",,,,,,資工系111D  選修	資工系111M  選修	
11110CS  772000,資料庫系統專題二,Special Topics in Data Base Management Systems(II),2,0,0, ,,中,以加簽方式選課。,,"DELTA台達615	W3W4
","陳宜欣	CHEN, YI-SHIN
",,,,,,資工系111D  選修	資工系111M  選修	
11110CS  890000,論文研究,Thesis,0,,0, ,,中,限資工系博二以上同學，Selectable after successfully completing first year's coursework,,,"指導教授	
",,排除博士班1年級,,,,資工系111D  必修	
11110CSR 500100,書報討論,Seminar,1,100,89, ,,中, ,,"DELTA台達107	F6F7
","林本堅	LIN, BURN-JENG
",,限半導體學院,,,,半導體學院111D  必修	半導體學院111M  必修	
11110CSR 500300,業界實習,Industry Internship,3,0,0, ,,中,限半導體學院生申請加簽，學院依學生繳交之實習申請書審核是否同意加簽,,,"指導教授	
",,限半導體學院,,,,半導體學院111D  必修	半導體學院111M  必修	
11110CSR 510100,半導體元件導讀,Introduction to Semiconductor Device,2,85,76, ,,英,半導體學院設計部、材料部、製程部必修,,"DELTA台達108	R7R8
","白田理一郎	RIICHIRO SHIROTA
",,半導體學院優先，第3次選課起開放全校修習,,,,半導體學院111D  必修	半導體學院111M  必修	電機系111D  選修	電機系111M  選修	
